wear,fail_prob,rul
0,0.0,250.0
5,0.0,245.0
10,0.0,240.0
15,0.0,235.0
20,0.0,230.0
25,0.0,225.0
30,0.0,220.0
35,0.0,215.0
40,0.0,210.0
45,0.0,205.0
50,0.0,200.0
55,0.0,195.0
60,0.0,190.0
65,0.0,185.0
70,0.0,180.0
75,0.0,175.0
80,0.0,170.0
85,0.0,165.0
90,0.0,160.0
95,0.0,155.0
100,0.0,150.0
105,0.0,145.0
110,0.0,140.0
115,0.0,135.0
120,0.0,130.0
125,0.0,125.0
130,0.0,120.0
135,0.0,115.0
140,0.0,110.0
145,0.1111111111111111,104.88333333333334
150,0.0,100.0
155,0.0,95.0
160,0.0,90.0
165,0.0,85.0
170,0.0,80.0
175,0.0,75.0
180,0.0,70.0
185,0.0,65.0
190,0.16666666666666669,59.9
195,0.08333333333333334,54.954166666666666
200,7.7222222222222205,46.13888888888889
205,13.87777777777778,38.755
210,11.933333333333332,35.22666666666667
215,12.905555555555557,30.483055555555556
220,17.157936507936512,24.852619047619047
225,23.385714285714283,19.153571428571432
230,14.51666666666667,17.096666666666668
235,14.561111111111114,12.815833333333334
240,17.200000000000003,8.28
245,19.161111111111115,4.041944444444444
250,20.47777777777778,0.0
